Número,Área,Cliente,Atribuído a,Prioridade,Subcategoria,Tipo,Versão do Produto,Categoria,Data de Envio,Visibilidade,Atualizado,Resumo,Estado,Resolução,Corrigido na Versão,Data prevista original
0085783,TI,lucio.junior,lucio.junior,P4,Sonda - Servidores,Rotina,,SERVIDOR,2021-01-04 11:12,público,2021-01-11 14:08,Preparação de ambiente Zabbix em desenvolvimento,Resolvido,corrigido,,2021-01-11 11:12
0086175,TI,lucio.junior,N3_MTX_BACKUP,P4,Sonda - Servidores,Requisição,,SERVIDOR,2021-01-05 15:02,público,2021-01-06 14:59,Monitoração de Backup via Zabbix,Resolvido,aberto,,2021-01-12 15:02
0085840,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2021-01-04 13:08,público,2021-01-05 09:14,ORACLE INSTÂNCIA TH154 ESTÁ FORA DO AR - INOPERANTE,Resolvido,corrigido,,2021-01-11 13:08
0082942,TI,lucio.junior,wagner.figueiredo,P4,Middleware,Evento,,SERVIDOR,2020-12-11 23:42,público,2020-12-11 23:44,Plano de Migração DP06 - 11/12/2020,Resolvido,aberto,,2020-12-18 18:00
0080163,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2020-11-27 16:35,público,2020-12-11 00:20,Instalação do ambiente Oracle no servidor ABRLPORADP06 - Acompanhamento,Resolvido,corrigido,,2020-12-04 16:35
0081324,TI,lucio.junior,anderson.rodrigues_VECTOR,P4,,Requisição,,SERVIDOR,2020-12-04 10:23,público,2020-12-10 12:38,Instalação dos binários do 11G no ambiente 06,Resolvido,corrigido,,
0081356,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2020-12-04 11:26,público,2020-12-08 17:19,Jobs TP118,Resolvido,corrigido,,2020-12-11 11:26
0081731,TI,lucio.junior,anderson.rodrigues_VECTOR,P2,Middleware,Requisição,,SERVIDOR,2020-12-07 18:06,público,2020-12-07 18:22,Ambiente EBS de Produção com Manager Fora,Resolvido,corrigido,,2020-12-09 18:00
0080926,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2020-12-02 14:39,público,2020-12-07 10:39,Criação de usuario Zabbix - TD125 e TD153,Resolvido,corrigido,,2020-12-09 14:39
0081521,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2020-12-05 21:40,público,2020-12-06 00:22,Criar indices no ambiente TP184,Resolvido,corrigido,,2020-12-14 18:00
0080165,TI,lucio.junior,crisanto.souza_VECTOR,P4,Middleware,Requisição,,SERVIDOR,2020-11-27 16:40,público,2020-12-04 10:11,Instalar ambiente ASM no servidor ABRLPORADP06,Resolvido,corrigido,,2020-12-07 16:40
0081099,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2020-12-03 10:05,público,2020-12-03 14:10,Executar backup de archive TP215,Resolvido,corrigido,,2020-12-10 10:05
0081195,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SERVIDOR,2020-12-03 14:04,público,2020-12-03 14:10,sc01zerpp01,Resolvido,corrigido,,2020-12-10 14:04
0080687,TI,lucio.junior,emerson.souto_vector,P3,CRP - Cadastro Corporativo,Requisição,,SISTEMAS CONTABEIS / FINANCEIROS / FISCAIS,2020-12-01 14:50,público,2020-12-02 16:22,Cadastro Corporativo - ELIMINAR DUPLICIDADES DE CODIGOS DE BARRAS,Resolvido,corrigido,,2020-12-04 14:50
0080814,TI,lucio.junior,anderson.rodrigues_VECTOR,P3,Middleware,Requisição,,SERVIDOR,2020-12-02 10:10,público,2020-12-02 10:28,Manutenção Ambiente EBS,Resolvido,corrigido,,2020-12-07 10:10
0080350,TI,lucio.junior,lucio.junior,P4,Middleware,Requisição,,SISTEMAS CONTABEIS / FINANCEIROS / FISCAIS,2020-11-30 10:47,público,2020-12-02 09:29,ERP NÃO ENTRA,Resolvido,duplicado,,2020-12-07 10:47
0079850,TI,lucio.junior,N3_MTX_TECHOPS_ADMUX,P4,,Requisição,,SERVIDOR,2020-11-26 14:33,público,2020-12-01 10:17,Checklist ABRLPORADP06,Resolvido,corrigido,,2020-12-03 14:33
0067270,TI,lucio.junior,eduardo.neto_essence,P4,Middleware,Requisição,,SERVIDOR,2020-10-04 12:38,público,2020-11-30 20:58,Instalação Componentes Zabbix,Resolvido,corrigido,,2020-10-12 12:38
0080035,TI,lucio.junior,lucio.junior,P4,,Requisição,,SERVIDOR,2020-11-27 11:52,público,2020-11-30 11:31,Detalhes da Criação ambiente 06,Resolvido,corrigido,,2020-12-04 11:52
